COUNTRY,INDICATOR,SCALE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Pakistan,"Gross domestic product (GDP), Current prices, US dollar",Billions,38.616,45.681,49.932,46.619,50.612,50.607,51.827,54.171,62.385,65.042,65.276,74.158,79.338,83.969,84.642,98.917,103.296,101.848,101.381,96.008,99.421,96.784,98.169,112.507,132.206,145.209,161.871,184.141,202.204,187.074,196.712,230.577,250.094,258.674,271.422,299.93,313.623,339.229,356.163,321.071,300.41,348.481,374.85,337.754,373.078,,,,,,
Czech Republic,"Gross domestic product (GDP), Current prices, US dollar",Billions,,,,,,,,,,,,,,,,60.565,67.805,62.53,67.161,65.586,62.171,68.136,82.596,100.471,120.148,137.264,156.236,189.845,236.82,207.095,211.169,231.429,210.363,213.024,210.911,189.108,198.161,221.564,251.992,256.794,251.11,290.973,301.831,343.207,344.931,360.244,376.684,390.799,406.038,422.083,438.859
Bangladesh,"Gross domestic product (GDP), Current prices, US dollar",Billions,24.775,26.355,24.678,23.904,26.817,28.819,29.639,32.449,34.914,38.07,41.068,42.488,43.292,43.684,46.438,51.842,55.445,57.599,59.879,61.526,61.687,62.537,65.036,71.755,77.152,79.53,86.028,95.374,109.765,122.76,138.094,154.097,159.749,179.676,207.102,233.687,265.236,293.755,321.379,351.238,373.902,416.265,460.201,451.534,451.096,467.218,513.121,557.136,606.807,672.75,740.875
Belgium,"Gross domestic product (GDP), Current prices, US dollar",Billions,123.479,102.245,89.959,85.037,81.237,84.468,117.063,145.412,158.098,159.817,200.15,205.37,228.733,218.721,238.623,288.302,279.292,253.022,258.876,258.503,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.271,484.488,481.949,527.106,498.731,524.106,538.127,461.091,474.141,500.733,542.885,536.787,529.269,598.892,593.906,644.968,664.965,684.864,706.834,725.385,746.66,768.493,791.414
Colombia,"Gross domestic product (GDP), Current prices, US dollar",Billions,46.501,50.661,54.252,53.92,53.257,48.581,48.648,50.64,54.592,55.048,56.071,57.954,68.579,77.721,97.665,110.564,116.13,127.49,117.725,103.132,99.27,97.606,97.353,94.072,116.382,145.6,161.793,206.23,242.504,232.469,286.499,334.966,370.692,382.094,381.241,293.493,282.72,311.89,334.124,323.055,270.348,318.525,345.632,366.292,418.542,427.766,445.65,466.154,488.083,510.905,534.345
Chile,"Gross domestic product (GDP), Current prices, US dollar",Billions,29.032,34.374,25.63,20.819,20.246,17.36,18.662,22.01,25.947,29.889,33.231,38.249,46.597,49.855,57.517,74.119,78.575,85.73,81.996,75.596,78.25,71.517,70.295,76.508,99.079,122.315,153.84,172.565,179.663,171.794,217.105,251.225,267.165,277.218,259.394,242.515,249.306,276.357,295.428,278.04,254.06,315.411,301.27,335.627,330.21,343.823,357.69,373.212,389.242,405.801,422.793
Denmark,"Gross domestic product (GDP), Current prices, US dollar",Billions,70.811,61.46,60.084,60.331,58.869,62.452,87.749,109.183,115.54,112.312,138.219,139.182,152.966,143.11,156.019,184.85,187.482,173.242,176.876,177.887,164.043,164.881,178.788,218.422,251.988,265.15,283.387,320.213,354.977,322.621,322.346,344.316,326.793,344.631,352.833,301.759,312.182,331.611,355.293,345.402,355.631,408.378,401.946,407.092,429.458,449.94,473.665,493.376,512.752,533.284,554.224
Finland,"Gross domestic product (GDP), Current prices, US dollar",Billions,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.726,128.215,113.139,89.177,103.621,134.21,132.046,127.027,134.164,135.369,126.023,129.521,140.262,171.57,197.369,204.973,217.056,256.39,285.667,253.206,249.633,275.079,257.606,270.272,273.549,233.234,238.712,253.757,273.993,267.044,269.784,294.419,280.474,295.036,298.833,303.945,315.822,326.344,337.007,348.457,361.008
Greece,"Gross domestic product (GDP), Current prices, US dollar",Billions,56.217,51.873,54.114,48.913,47.657,47.269,55.636,64.769,75.384,78.148,96.601,104.164,114.846,107.505,115.055,135.036,142.513,138.93,139.821,143.693,127.438,132.051,150.148,196.881,234.873,242.45,269.088,314.264,351.083,326.474,296.66,283.178,238.992,236.56,233.972,194.587,193.044,200.31,213.396,207.329,191.21,218.449,219.053,243.569,257.067,267.348,279.637,288.684,298.64,308.815,319.516
Ireland,"Gross domestic product (GDP), Current prices, US dollar",Billions,21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.187,222.167,241.295,227.415,243.305,266.857,302.422,305.649,348.411,395.641,407.17,436.205,531.66,549.003,551.554,577.216,598.84,623.492,647.247,675.102,703.501,734.181
Israel,"Gross domestic product (GDP), Current prices, US dollar",Billions,25.071,26.565,28.47,31.752,30.059,27.938,34.394,41.08,50.888,51.777,61.097,69.307,77.446,77.837,88.852,105.553,115.181,119.516,120.586,121.425,136.516,134.99,125.339,131.544,140.162,147.442,159.076,184.706,221.231,213.401,239.679,268.095,263.591,298.479,315.019,303.469,321.941,358.453,376.301,400.648,410.771,489.854,525.183,512.185,540.381,583.361,610.712,638.253,667.6,698.299,730.427
