Year,GDP
1960,542390475099.326
1961,562640778342.419
1962,604729643906.496
1963,638380883119.283
1964,685631590686.501
1965,743503780837.106
1966,814082043610.829
1967,860737154023.838
1968,941639100803.844
1969,1018471133696.76
1970,1073303000000.0
1971,1164850000000.0
1972,1279110000000.0
1973,1425376000000.0
1974,1545243000000.0
1975,1684904000000.0
1976,1873412000000.0
1977,2081826000000.0
1978,2351599000000.0
1979,2627333000000.0
1980,2857307000000.0
1981,3207041000000.0
1982,3343789000000.0
1983,3634038000000.0
1984,4037613000000.0
1985,4338979000000.0
1986,4579631000000.0
1987,4855215000000.0
1988,5236438000000.0
1989,5641580000000.0
1990,5963144000000.0
1991,6158129000000.0
1992,6520327000000.0
1993,6858559000000.0
1994,7287236000000.0
1995,7639749000000.0
1996,8073122000000.0
1997,8577552000000.0
1998,9062817000000.0
1999,9631172000000.0
2000,10250952000000.0
2001,10581929000000.0
2002,10929108000000.0
2003,11456450000000.0
2004,12217196000000.0
2005,13039197000000.0
2006,13815583000000.0
2007,14474228000000.0
2008,14769862000000.0
2009,14478067000000.0
2010,15048971000000.0
2011,15599732000000.0
2012,16253970000000.0
2013,16880683000000.0
2014,17608138000000.0
2015,18295019000000.0
2016,18804913000000.0
2017,19612102000000.0
2018,20656516000000.0
2019,21539982000000.0
2020,21354105000000.0
2021,23681171000000.0
2022,26006893000000.0
2023,27720709000000.0
2024,29184890000000.0
